Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,1,113,85,69,7,11,3,17,112,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day8\assignment1,1,113,85,69,7,11,3,17,112,0,0
