Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,1,53,32,28,1,11,1,10,59,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day7\assignment2,1,53,32,28,1,11,1,10,59,0,0
