Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,6,617,484,377,33,33,32,100,543,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day6,6,617,484,377,33,33,32,100,543,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day6\assignment1,1,216,154,125,11,15,16,47,218,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day6\assignment2,2,79,49,38,2,10,0,20,65,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day6\assignment3,2,285,252,190,19,5,16,28,229,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day6\assignment4,1,37,29,24,1,3,0,5,31,0,0
