File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day6\assignment1\UserInteraction.java,216,154,125,11,15,16,47,218,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day6\assignment2\ExceptionDemo.java,66,42,33,2,7,0,17,50,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day6\assignment2\TestExceptionDemo.java,13,7,5,0,3,0,3,15,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day6\assignment3\InvalidInputException.java,10,6,4,0,2,0,2,15,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day6\assignment3\UserInteraction.java,275,246,186,19,3,16,26,214,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day6\assignment4\CompanyInfo.java,37,29,24,1,3,0,5,31,0,0
