File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day8\assignment1\GenericsTest.java,113,85,69,7,11,3,17,112,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day8\assignment2\TestThreads.java,24,17,13,0,3,1,4,28,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day8\assignment2\ThreadDemo1.java,27,15,10,2,5,0,7,44,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day8\assignment2\ThreadDemo2.java,27,16,10,2,4,0,7,44,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day8\assignment3\EmpInfoMerger.java,124,91,74,9,11,0,22,116,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day8\assignment3\TestEmpInfoMerger.java,30,20,16,0,6,1,4,29,0,0
