Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,6,345,244,192,20,40,5,61,373,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day8,6,345,244,192,20,40,5,61,373,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day8\assignment1,1,113,85,69,7,11,3,17,112,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day8\assignment2,3,78,48,33,4,12,1,18,116,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day8\assignment3,2,154,111,90,9,17,1,26,145,0,0
