Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,26,659,470,359,39,14,0,175,1206,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day5,26,659,470,359,39,14,0,175,1206,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day5\assignment1,5,85,56,44,3,6,0,23,160,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day5\assignment2,6,110,76,61,4,4,0,30,214,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day5\assignment3,6,121,88,70,7,0,0,33,238,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day5\assignment4,7,253,178,133,15,3,0,72,485,0,0
D:\PRTOT\NEWWSPRTOT\JavaSkillUp\src\day5\assignment5,2,90,72,51,10,1,0,17,109,0,0
